title,authors,isbn,isbn13,language_code,  num_pages,publication_date,publisher,Unnamed: 12
The Power of One (The Power of One  #1),Bryce Courtenay,034541005X,9.78035E+12,eng,544,9/29/96,Ballantine Books,
The Power of One (The Power of One  #1),Bryce Courtenay,385732546,9.78039E+12,eng,291,9/13/05,Delacorte Books for Young Readers,
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,785260056,9.78079E+12,en-US,256,11/1/04,Thomas Nelson,
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,471780936,9.78047E+12,eng,205,5/19/06,Wiley,
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,325001537,9.78033E+12,eng,240,2/7/00,Heinemann Drama,
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,006076287X,9.78006E+12,eng,336,5/3/05,William Morrow Paperbacks,
eBay for Dummies,Marsha Collier,470045299,9.78047E+12,eng,386,10/30/06,Wiley,
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,72262788,9.78007E+12,eng,260,1/24/06,McGraw-Hill,
Starting an eBay Business for Dummies,Marsha Collier,764569244,9.78076E+12,eng,384,9/17/04,Wiley,
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,471933821,9.78047E+12,eng,260,6/6/06,Wiley,
ebay Timesaving Techniques for Dummies,Marsha Collier,764559915,9.78076E+12,en-US,391,5/31/04,Wiley,
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,764584383,9.78076E+12,en-US,864,4/25/05,Wiley,
Ruby Cookbook,Lucas Carlson/Leonard Richardson,596523696,9.7806E+12,eng,873,7/29/06,O'Reilly Media,
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,806523492,9.78081E+12,eng,240,5/3/05,Citadel,
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,806525363,9.78081E+12,eng,206,5/3/05,Citadel,
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,596527314,9.7806E+12,eng,514,1/1/07,O'Reilly Media,
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,143035002,9.78014E+12,eng,838,5/31/04,Penguin Classics,
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,451528611,9.78045E+12,eng,960,11/5/02,Signet,
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,140449175,9.78014E+12,eng,837,1/30/03,Penguin Books,
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,822001837,9.78082E+12,eng,80,11/26/65,Cliffs Notes,
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,1593080271,9.78159E+12,eng,803,7/1/03,Barnes & Noble Classics,
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,486437965,9.78049E+12,eng,752,11/23/04,Dover Publications,
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,1593081774,9.78159E+12,eng,803,8/26/04,Barnes & Noble,
Dinner with Anna Karenina,Gloria Goldreich,778322270,9.78078E+12,eng,360,1/28/06,Mira Books,
Tolstoy: Anna Karenina,Anthony Thorlby,521313252,9.78052E+12,eng,128,11/26/87,Cambridge University Press,
Untouchable,Mulk Raj Anand/E.M. Forster,140183957,9.78014E+12,eng,160,7/3/90,Penguin Books,
The Untouchable,John Banville,679767479,9.78068E+12,eng,367,6/30/98,Vintage,
The Untouchables,Eliot Ness/Oscar Fraley,1568491980,9.78157E+12,eng,256,2/1/96,Buccaneer Books,
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,743270797,9.78074E+12,en-US,320,9/27/05,Scribner,
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,932863051,9.78093E+12,eng,100,1/28/95,Clarity Press,
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,742508803,9.78074E+12,eng,224,12/20/00,Rowman & Littlefield Publishers,
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,205358624,9.78021E+12,eng,216,9/22/03,Pearson,
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,1557344035,9.78156E+12,eng,48,9/28/91,Teacher Created Resources,
Wrinkles in Time,George Smoot/Keay Davidson,380720442,9.78038E+12,eng,360,10/1/94,Harper Perennial,
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,821925326,9.78082E+12,eng,250,5/1/02,EMC/Paradigm Publishing,
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,043927169X,9.78044E+12,eng,32,1/1/02,Teaching Resources,
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,606105263,9.78061E+12,spa,205,6/1/84,Turtleback Books,
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,751506435,9.78075E+12,eng,367,6/1/94,Little  Brown Book Group,
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,006078671X,9.78006E+12,eng,352,1/3/06,William Morrow,
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,743499344,9.78074E+12,en-US,320,11/1/05,Atria Books,
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,765313405,9.78077E+12,eng,331,3/7/06,Tor Books,
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,1400032490,9.7814E+12,eng,244,8/10/04,Vintage Crime/Black Lizard,
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,1400032482,9.7814E+12,eng,215,3/8/05,Vintage Crime/Black Lizard,
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,1400032466,9.7814E+12,eng,191,8/10/04,Vintage Crime/Black Lizard,
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,679732527,9.78068E+12,eng,144,10/3/90,Vintage,
I am Charlotte Simmons,Tom Wolfe,312424442,9.78031E+12,eng,738,8/30/05,Picador USA,
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,806930772,9.78081E+12,eng,48,10/1/01,Sterling,
The Puffin Book of Nonsense Verse,Quentin Blake,140366601,9.78014E+12,eng,287,10/3/96,Puffin,
Henry Miller on Writing,Henry Miller/Thomas H. Moore,811201120,9.78081E+12,eng,217,2/1/64,New Directions Publishing,
Quiet Days in Clichy,Henry Miller,080213016X,9.7808E+12,eng,154,1/13/94,Grove Press,
Tropic of Cancer,Henry Miller/Jiří Níl,802131786,9.7808E+12,eng,318,1/6/94,Grove Press,
Tropic of Capricorn,Henry Miller,802151825,9.7808E+12,eng,348,1/13/94,Grove Press,
Nexus (The Rosy Crucifixion  #3),Henry Miller,802151787,9.7808E+12,eng,316,1/13/94,Grove Press,
Sexus (The Rosy Crucifixion  #1),Henry Miller,802151809,9.7808E+12,eng,506,1/12/94,Grove Press,
The Air-Conditioned Nightmare,Henry Miller,811201066,9.78081E+12,eng,292,1/17/70,New Directions,
The Portrait of a Lady,Henry James/Patricia Crick,141439637,9.78014E+12,eng,797,9/30/03,Penguin Classics,
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,1593080964,9.78159E+12,eng,635,1/16/04,Barnes  Noble Classics,
Writing,Marguerite Duras,1571290532,9.78157E+12,eng,91,5/6/99,Brookline Books,
The War,Marguerite Duras/Barbara Bray,1565842219,9.78157E+12,eng,192,8/1/94,The New Press,
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,394743040,9.78039E+12,en-US,181,3/12/86,Pantheon,
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,1851681825,9.78185E+12,eng,178,7/1/99,One World (UK),
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,156656249X,9.78157E+12,eng,464,4/1/98,Interlink Publishing Group,
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,014019553X,9.78014E+12,eng,102,1/1/98,Penguin Books,
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,394431243,9.78039E+12,eng,216,2/21/95,Knopf,
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,806501901,9.78081E+12,eng,132,3/3/03,Citadel,
Sand and Foam,Kahlil Gibran/جبران خليل جبران,067943920X,9.78068E+12,eng,100,6/14/11,Knopf,
Treasure Island,Robert Louis Stevenson,753453800,9.78075E+12,eng,311,9/15/01,Kingfisher,
Treasure Island,Robert Louis Stevenson/Scott McKowen,1402714572,9.7814E+12,en-US,213,10/1/04,Sterling Children's Books,
Treasure Island,Robert Louis Stevenson,1416500294,9.78142E+12,eng,245,6/1/05,Simon & Schuster,
Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,689854684,9.78069E+12,eng,64,7/1/03,Atheneum Books for Young Readers,
Treasure Island,Robert Louis Stevenson/Milo Winter,517221144,9.78052E+12,en-US,272,9/3/02,Gramercy Books,
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,1577658051,9.78158E+12,eng,232,1/31/06,Abdo Publishing Company,
100 Years of Lynchings,Ralph Ginzburg,933121180,9.78093E+12,eng,270,11/22/96,Black Classic Press,
Cien años de soledad,Gabriel García Márquez,785950109,9.78079E+12,spa,448,1/1/90,French & European,
On Beyond Zebra!,Dr. Seuss,394800842,9.78039E+12,eng,64,9/12/55,Random House Books for Young Readers,
The Wedding Clause,Debbie Raleigh,821778250,9.78082E+12,eng,256,6/7/05,Zebra,
The Zebra Wall,Kevin Henkes,60733039,9.78006E+12,eng,147,2/15/05,Greenwillow Books,
El perfume: Historia de un asesino,Patrick Süskind,8432216062,9.78843E+12,spa,239,6/1/02,Booket,
The Door Into Summer,Robert A. Heinlein,345413997,9.78035E+12,eng,304,6/17/97,Del Rey,
Stranger in a Strange Land,Robert A. Heinlein,441788386,9.78044E+12,eng,528,10/1/91,Ace,
To Sail Beyond the Sunset,Robert A. Heinlein,441748600,9.78044E+12,en-US,434,6/1/88,Ace Books,
Job: A Comedy of Justice,Robert A. Heinlein,345316509,9.78035E+12,en-US,439,10/12/85,Del Rey,
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,765314932,9.78077E+12,eng,256,8/8/06,Tor Books,
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,671742515,9.78067E+12,en-US,307,2/15/91,Pocket Books,
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,345455290,9.78035E+12,eng,298,4/26/05,Del Rey,
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,345476514,9.78035E+12,eng,368,12/27/05,Del Rey,
Douglas Adams's Starship Titanic,Terry Jones,345368436,9.78035E+12,eng,256,10/27/98,Ballantine Books,
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,1417622857,9.78142E+12,eng,336,7/1/03,Turtleback Books,
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,573650969,9.78057E+12,eng,72,1/12/11,Samuel French  Inc.,
On Bullshit,Harry G. Frankfurt,691122946,9.78069E+12,eng,67,1/30/05,Princeton University Press,
Another Bullshit Night in Suck City,Nick Flynn,393329402,9.78039E+12,eng,347,9/12/05,W. W. Norton & Company,
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,671867423,9.78067E+12,en-US,317,6/12/93,Simon & Schuster,
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,395883970,9.7804E+12,eng,32,2/2/98,HMH Books for Young Readers,
Underworld,Don DeLillo,684848155,9.78068E+12,eng,827,7/9/98,Scribner,
Libra,Don DeLillo,140156046,9.78014E+12,eng,480,5/1/91,Penguin,
Americana,Don DeLillo,140119485,9.78014E+12,eng,377,7/6/89,Penguin Books,
Running Dog,Don DeLillo,679722947,9.78068E+12,eng,256,7/17/89,Vintage Contemporaries,
Cosmopolis,Don DeLillo,743244257,9.78074E+12,eng,224,4/6/04,Scribner,
Great Jones Street,Don DeLillo,140179178,9.78014E+12,eng,272,1/1/94,Penguin Books,
The Names,Don DeLillo,679722955,9.78068E+12,eng,339,7/17/89,Vintage,
Against the Day,Thomas Pynchon,159420120X,9.78159E+12,eng,1085,11/21/06,Penguin Press,
V.,Thomas Pynchon,60930217,9.78006E+12,eng,547,7/5/05,Harper Perennial Modern Classics,
The Crying of Lot 49,Thomas Pynchon,60931671,9.78006E+12,eng,152,4/1/99,Harper Perennial,
Gravity's Rainbow,Thomas Pynchon,140283382,9.78014E+12,eng,784,1/1/00,Penguin Books,
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,312423209,9.78031E+12,eng,773,1/3/04,Picador USA,
Vineland,Thomas Pynchon,141180633,9.78014E+12,en-US,385,9/1/97,Penguin Classics,
Gravity's Rainbow,Thomas Pynchon,143039946,9.78014E+12,eng,776,10/31/06,Penguin Books,
Slow Learner: Early Stories,Thomas Pynchon,316724432,9.78032E+12,eng,193,4/30/85,Back Bay Books,
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,140189300,9.78014E+12,eng,352,8/29/96,Penguin Classics,
The Year of Magical Thinking,Joan Didion,140004314X,9.7814E+12,en-US,227,10/4/05,Knopf Publishing Group,
The White Album,Joan Didion,374522219,9.78037E+12,eng,222,10/1/90,Farrar Straus Giroux,
A Book of Common Prayer,Joan Didion,679754865,9.78068E+12,eng,272,4/11/95,Vintage International,
Where I Was From,Joan Didion,679752862,9.78068E+12,eng,240,9/14/04,Vintage,
Slouching Towards Bethlehem,Joan Didion,374521727,9.78037E+12,eng,238,10/1/90,Farrar Straus Giroux,
Democracy,Joan Didion,679754857,9.78068E+12,en-US,234,4/25/95,Vintage International,
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,307264874,9.78031E+12,eng,1122,10/17/06,Everyman's Library,
Play It As It Lays,Joan Didion/David Thomson,374529949,9.78037E+12,eng,231,11/15/05,Farrar  Straus and Giroux,
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,143039830,9.78014E+12,eng,308,3/28/06,Penguin Classics,
City of Glass (The New York Trilogy  #1),Paul Auster,140097317,9.78014E+12,eng,203,4/7/87,Penguin Books,
Ghosts (The New York Trilogy  #2),Paul Auster,014009735X,9.78014E+12,eng,96,7/7/87,Penguin Books,
The Locked Room (The New York Trilogy  #3),Paul Auster,940650762,9.78094E+12,eng,179,11/1/86,Sun and Moon Press,
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,963188925,9.78096E+12,eng,256,1/1/95,Sky Books (NY),
The Brooklyn Follies,Paul Auster,312426232,9.78031E+12,eng,306,10/17/06,Picador,
Moon Palace,Paul Auster,140115854,9.78014E+12,eng,320,4/1/90,Penguin Books,
The Music of Chance,Paul Auster,140154078,9.78014E+12,en-US,217,12/1/91,Penguin Books,
Travels in the Scriptorium,Paul Auster,805081453,9.78081E+12,eng,145,1/23/07,Henry Holt & Company,
Leviathan,Paul Auster,140178139,9.78014E+12,eng,275,9/1/93,Penguin Books,
The Red Notebook: True Stories,Paul Auster,811214982,9.78081E+12,eng,104,6/17/02,New Directions,
Timbuktu / Leviathan / Moon Palace,Paul Auster,2742741461,9.78274E+12,fre,1075,11/7/02,Actes Sud,
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,143036556,9.78014E+12,eng,608,12/27/05,Penguin Books Ltd. (London),
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,446579785,9.78045E+12,en-US,211,2/1/06,Business Plus,
Collapse of Complex Societies,Joseph A. Tainter,052138673X,9.78052E+12,eng,262,3/29/90,Cambridge University Press,
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,743203046,9.78074E+12,eng,544,8/7/01,Simon  Schuster,
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,034543871X,9.78035E+12,eng,272,1/29/02,Ballantine Books,
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,393318281,9.78039E+12,eng,576,9/17/98,W. W. Norton  Company,
My Inventions,Nikola Tesla,1599869942,9.7816E+12,eng,88,5/17/06,Filiquarian Publishing  LLC.,
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,806519606,9.78081E+12,eng,542,2/1/01,Citadel,
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,822549204,9.78082E+12,eng,144,10/1/94,Lerner Publications,
Tesla Papers,Nikola Tesla/David Hatcher Childress,932813860,9.78093E+12,eng,100,12/1/00,Adventures Unlimited Press,
Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,373792689,9.78037E+12,eng,249,6/27/06,Harlequin Blaze,
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,974514055,9.78097E+12,en-US,828,10/11/04,Pragmatic Bookshelf,
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,764585975,9.78076E+12,eng,112,6/13/00,Cliffs Notes,
Lord of the Flies,William Golding,307281701,9.78031E+12,eng,6,10/11/05,Listening Library (Audio),
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,812969707,9.78081E+12,eng,397,9/12/06,Random House,
